Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
"lootTooltipNew","UI","Use Prompt","","",,"[57B9FF]{0}[-] Search {1} [57B9FF](Untouched)","","[57B9FF]{0}[-] Durchsuche {1} [57B9FF](Unberührt)","[57B9FF]{0}[-] Buscar {1} [57B9FF](intacto)","[57B9FF]{0}[-] Fouiller {1} [57B9FF](intact)","[57B9FF]{0}[-] esamina {1} [57B9FF](intatto)","[57B9FF]{0}[-]が{1}を調べる [57B9FF]（未使用）","[57B9FF]{0}[-] {1} 수색[57B9FF](손대지 않음)","[57B9FF]{0}[-] Przeszukaj: {1} [57B9FF](nienaruszone)","[57B9FF]{0}[-] Buscar {1} [57B9FF](intocado)","[57B9FF]{0}[-]: обыскать ({1})[57B9FF] (нетронуто)","[57B9FF]{0}[-] Ara: {1} [57B9FF](Dokunulmamış)","[57B9FF]{0}[-]搜索{1}[57B9FF]（未触碰过）","[57B9FF]{0}[-]搜索{1}[57B9FF]（未觸碰）"
"lootTooltipTouched","UI","Use Prompt","","",,"[57B9FF]{0}[-] Search {1} ","","[57B9FF]{0}[-] Durchsuche {1}","[57B9FF]{0}[-] Buscar {1}","[57B9FF]{0}[-] Fouiller {1}","[57B9FF]{0}[-] esamina {1}","[57B9FF]{0}[-]が{1}を調べる","[57B9FF]{0}[-] {1} 수색","[57B9FF]{0}[-] Przeszukaj: {1}","[57B9FF]{0}[-] Buscar {1}","[57B9FF]{0}[-]: обыскать ({1})","[57B9FF]{0}[-] Ara: {1}","[57B9FF]{0}[-]搜索{1}","[57B9FF]{0}[-]搜索{1}"
"npcTooltipTalk","UI","Tooltip","","",,"Press [57B9FF]{0}[-] to talk to [DECEA3]{1}[-]","","[57B9FF]{0}[-]-Taste drücken, um mit [DECEA3]{1}[-] zu reden","Pulsa [57B9FF]{0}[-] para hablar con [DECEA3]{1}[-]","Appuyer sur [57B9FF]{0}[-] pour parler à [DECEA3]{1}[-]","Premi [57B9FF]{0}[-] per parlare con [DECEA3]{1}[-]","[57B9FF]{0}[-]を押して[DECEA3]{1}[-]と話す","[57B9FF]{0}[-]을(를) 눌러 [DECEA3]{1}[-] 에게 말걸기","Przyciśnij [57B9FF]{0}[-], aby rozmawiać: [DECEA3]{1}[-]","Aperte [57B9FF]{0}[-] para falar com [DECEA3]{1}[-]","Нажмите [57B9FF]{0}[-], чтобы поговорить с персонажем [DECEA3]{1}[-]","[DECEA3]{1}[-] ile konuşmak için [57B9FF]{0}[-] tuşuna bas","按下[57B9FF]{0}[-]与[DECEA3]{1}[-]对话","按下 [57B9FF]{0}[-] 進行交談[DECEA3]{1}[-]"
"pickupCrops","UI","HUD","","",,"Press [57B9FF]{{0}}[-] to pick up: [DECEA3]{0}[57B9FF]{1}","","Drücke [57B9FF]{{0}}[-], um [DECEA3]{0}[57B9FF]{1} aufzuheben","Pulsa [57B9FF]{{0}}[-] para coger: [DECEA3]{0}[57B9FF]{1}","Appuyer sur [57B9FF]{{0}}[-] pour ramasser : [DECEA3]{0}[57B9FF]{1}","Premi [57B9FF]{{0}}[-] per raccogliere: [DECEA3]{0}[57B9FF]{1}","[57B9FF]{{0}}[-] を押して拾う： [DECEA3]{0}[57B9FF]{1}","[57B9FF]{{0}}[-]을(를) 눌러 집어들기:[DECEA3]{0}[57B9FF]{1}","Przyciśnij [57B9FF]{{0}}[-], aby podnieść: [DECEA3]{0}[57B9FF]{1}","Aperte [57B9FF]{{0}}[-] para pegar: [DECEA3]{0}[57B9FF]{1}","Нажмите [57B9FF]{{0}}[-], чтобы подобрать: [DECEA3]{0}[57B9FF]{1}","[57B9FF]{{0}}[-] tuşuna basarak al: [DECEA3]{0}[57B9FF]{1}","按下[57B9FF]{{0}}[-]拾取：[DECEA3]{0}[57B9FF]{1}","按 [57B9FF]{{0}}[-] 撿起[DECEA3]{0}[57B9FF]{1}"
"pickupPrompt","UI","HUD","","",,"Press [57B9FF]{{0}}[-] to pick up: [DECEA3]{0}[-]","","Drücke [57B9FF]{{0}}[-], um [DECEA3]{0}[-] aufzuheben","Pulsa [57B9FF]{{0}}[-] para coger: [DECEA3]{0}[-]","Appuyer sur [57B9FF]{{0}}[-] pour ramasser : [DECEA3]{0}[-]","Premi [57B9FF]{{0}}[-] per raccogliere: [DECEA3]{0}[-]","[57B9FF]{{0}}[-] を押して拾う： [DECEA3]{0}[-]","[57B9FF]{{0}}[-]을(를) 눌러 집어들기:[DECEA3]{0}[-]","Przyciśnij [57B9FF]{{0}}[-], aby podnieść: [DECEA3]{0}[-]","Aperte [57B9FF]{{0}}[-] para pegar: [DECEA3]{0}[-]","Нажмите [57B9FF]{{0}}[-], чтобы подобрать: [DECEA3]{0}[-]","[57B9FF]{{0}}[-] tuşuna basarak al: [DECEA3]{0}[-]","按下[57B9FF]{{0}}[-]拾取：[DECEA3]{0}[-]","按 [57B9FF]{{0}}[-] 撿起[DECEA3]{0}[-]"
"questBlockActivate","UI","Use Prompt","","",,"Press [57B9FF]{{0}}[-] to Activate: [DECEA3]{1}[-]","","Drücke [57B9FF]{{0}}[-] zum Aktivieren von: [DECEA3]{1}[-]","Pulsa [57B9FF]{{0}}[-] para Activar: [DECEA3]{1}[-]","Appuyer sur [57B9FF]{{0}}[-] pour activer : [DECEA3]{1}[-]","Premi [57B9FF]{{0}}[-] per attivare: [DECEA3]{1}[-]","[57B9FF]{{0}}[-] を押して作動させる： [DECEA3]{1}[-]","[57B9FF]{{0}}[-]을(를) 눌러 활성화: [DECEA3]{1}[-]","Przyciśnij [57B9FF]{{0}}[-], aby aktywować: [DECEA3]{1}[-]","Aperte [57B9FF]{{0}}[-] para ativar: [DECEA3]{1}[-]","Нажмите [57B9FF]{{0}}[-], чтобы задействовать: [DECEA3]{1}[-]","[57B9FF]{{0}}[-] tuşuna basarak Etkinleştir: [DECEA3]{1}[-]","按 [57B9FF]{{0}}[-] 激活： [DECEA3]{1}[-]","按 [57B9FF]{{0}}[-] 激活[DECEA3]{1}[-]"
"questRallyActivate","UI","Use Prompt","","",,"Press {{0}} to Start Quest: [DECEA3]{1}[-]","","Drücke {{0}} zum Starten der Quest: [DECEA3]{1}[-]","Pulsar {{0}} para Iniciar misión: [DECEA3]{1}[-]","Appuyer sur {{0}} pour lancer la quête : [DECEA3]{1}[-]","Premi {{0}} per iniziare missione: [DECEA3]{1}[-]","{{0}} を押してクエストを開始： [DECEA3]{1}[-]","{{0}}을(를) 눌러 퀘스트 시작: [DECEA3]{1}[-]","Przyciśnij {{0}}, aby rozpocząć zadanie: [DECEA3]{1}[-]","Aperte {{0}} para iniciar a missão: [DECEA3]{1}[-]","Нажмите {{0}}, чтобы начать задание: [DECEA3]{1}[-]","{{0}} tuşuna basarak Görevi Başlat: [DECEA3]{1}[-]","按 {{0}} 开始任务： [DECEA3]{1}[-]","按 {{0}} 激活任務：[DECEA3]{1}[-]"
"tooltipInteract","UI","Use Prompt","","",,"Hold [57B9FF]{0}[-] to interact with [DECEA3]{1}[-]","","Halte [57B9FF]{0}[-] gedrückt, um mit [DECEA3]{1}[-] zu interagieren","Mantén presionado [57B9FF]{0}[-] para interactuar con [DECEA3]{1}[-]","Maintenir [57B9FF]{0}[-] pour interagir avec [DECEA3]{1}[-]","Tieni premuto [57B9FF]{0}[-] per interagire con [DECEA3]{1}[-]","[57B9FF]{0}[-]を長押しして、[DECEA3]{1}[-]を操作する","[57B9FF]{0}[-]을(를) 꾹 눌러 [DECEA3]{1}[-]과(와) 상호작용","Przytrzymaj [57B9FF]{0}[-], aby wejść w interakcję z: [DECEA3]{1}[-]","Segure [57B9FF]{0}[-] para interagir com [DECEA3]{1}[-]","[DECEA3]{1}[-]: Для взаимодействия удерживайте [57B9FF]{0}[-]","[DECEA3]{1}[-] ile etkileşim kurmak için [57B9FF]{0}[-] tuşunu basılı tut","按住[57B9FF]{0}[-]与[DECEA3]{1}[-]互动","長按 [57B9FF]{0}[-] 與[DECEA3]{1}[-]互動"
"tooltipJammed","UI","Menu","","",,"[FF7518]{0}[-] Use {1} [FF7518](Jammed)","","[57B9FF]{0}[-] Verwende {1} [FF7518](Blockiert)","[57B9FF]{0}[-] Usa {1} [FF7518](Atascado)","[57B9FF]{0}[-] pour utiliser {1} [FF7518](coincé(e))","[57B9FF]{0}[-] Usa {1} [FF7518](Inceppato)","[57B9FF]{0}[-] {1} を使用[FF7518] (固定)","[57B9FF]{0}[-] {1} 사용 [FF7518](혼잡)","[57B9FF]{0}[-] Użyj {1} [FF7518](zacięte)","[57B9FF]{0}[-] Usa {1} [FF7518](Emperrado)","[57B9FF]{0}[-] Использовать {1} [FF7518](заклинило)","[57B9FF]{0}[-] {1} Kullan [FF7518](Sıkışmış)","[57B9FF]{0}[-]使用{1} [FF7518]（挤满）","[57B9FF]{0}[-]用法{1}[FF7518]（已堵塞)"
"tooltipLocked","UI","Menu","","",,"[FF7518]{0}[-] Use {1} [FF7518](Locked)","","[57B9FF]{0}[-] Verwende {1} [FF7518](Verschlossen)","[57B9FF]{0}[-] Usa {1} [FF7518](Bloqueado)","[57B9FF]{0}[-] pour utiliser {1} [FF7518](verrouillé(e))","[57B9FF]{0}[-] Usa {1} [FF7518](Bloccato)","[57B9FF]{0}[-] {1} を使用 [FF7518](施錠済み)","[57B9FF]{0}[-] {1} 사용 [FF7518](잠김)","[57B9FF]{0}[-] Użyj {1} [FF7518](zablokowane)","[57B9FF]{0}[-] Usa {1} [FF7518](Trancado)","[57B9FF]{0}[-] Использовать {1} [FF7518](заперто)","[57B9FF]{0}[-] {1} Kullan [FF7518](Kilitli)","[57B9FF]{0}[-] 使用{1}[FF7518]（锁定）","[57B9FF]{0}[-]用法{1}[FF7518]（已鎖定)"
"tooltipUnlocked","UI","Menu","","",,"[57B9FF]{0}[-] Use {1} [57B9FF](Unlocked)","","[57B9FF]{0}[-] Verwende {1} [57B9FF](Entriegelt)","[57B9FF]{0}[-] Usa {1} [57B9FF](Desbloqueado)","[57B9FF]{0}[-] pour utiliser {1} [57B9FF](déverrouillé(e))","[57B9FF]{0}[-] Usa {1} [57B9FF](Sbloccato)","[57B9FF]{0}[-] {1} を使用 [57B9FF](解錠済み)","[57B9FF]{0}[-] {1} 사용 [57B9FF](열림)","[57B9FF]{0}[-] Użyj {1} [57B9FF](odblokowane)","[57B9FF]{0}[-] Usa {1} [57B9FF](Destrancado)","[57B9FF]{0}[-] Использовать {1} [57B9FF](открыто)","[57B9FF]{0}[-] {1} Kullan [57B9FF](Kilidi Açık)","[57B9FF]{0}[-]使用{1} [57B9FF]（已解锁）","[57B9FF]{0}[-]用法{1}[57B9FF]（已解鎖)"
"turretPickUp","UI","HUD","","",,"[DECEA3]Pick up Turret","","[DECEA3]Geschützturm aufheben","[DECEA3]Torreta de recogida","[DECEA3]Ramasser la tourelle","[DECEA3]Raccogli torretta","[DECEA3]砲塔を拾う","[DECEA3]터렛 집어들기","[DECEA3]Wybór wieżyczki","[DECEA3]Pegar torreta","[DECEA3]Подобрать пушку","[DECEA3]Tareti yerden al","[DECEA3]拾取炮塔","[DECEA3]撿起炮塔"
"useBlock","UI","Menu","","",,"[57B9FF]{0}[-] Use [DECEA3]{1}[-]","","[57B9FF]{0}[-] Verwende [DECEA3]{1}[-]","[57B9FF]{0}[-] Usa [DECEA3]{1}[-]","[57B9FF]{0}[-] pour utiliser [DECEA3]{1}[-]","[57B9FF]{0}[-] Usa [DECEA3]{1}[-]","[57B9FF]{0}[-] [DECEA3]{1}[-] を使用","[57B9FF]{0}[-] [DECEA3]{1}[-] 사용","[57B9FF]{0}[-] Użyj [DECEA3]{1}[-]","[57B9FF]{0}[-] Usa [DECEA3]{1}[-]","[57B9FF]{0}[-] Использовать [DECEA3]{1}[-]","[57B9FF]{0}[-] [DECEA3]{1}[-] Kullan","[57B9FF]{0}[-]使用[DECEA3]{1}[-]","[57B9FF]{0}[-]用法[DECEA3]{1}[-]"
"useCampfire","UI","HUD","","",,"Press [57B9FF]{0}[-] to use","","Zum Benutzen [57B9FF]{0}[-] drücken","Pulsa [57B9FF]{0}[-] para usar","Appuyer sur [57B9FF]{0}[-] pour utiliser","Premi [57B9FF]{0}[-] per usare","[57B9FF]{0}[-]を押して使う","[57B9FF]{0}[-]을(를) 눌러 사용","Przyciśnij [57B9FF]{0}[-], aby użyć","Aperte [57B9FF]{0}[-] para usar","Нажмите [57B9FF]{0}[-], чтобы использовать","Kullanmak için bas: [57B9FF]{0}[-]","按下[57B9FF]{0}[-]使用","按下 [57B9FF]{0}[-] 使用"
"useForge","UI","HUD","","",,"Press [57B9FF]{0}[-] to use","","Zum Benutzen [57B9FF]{0}[-] drücken","Pulsa [57B9FF]{0}[-] para usar","Appuyer sur [57B9FF]{0}[-] pour utiliser","Premi [57B9FF]{0}[-] per usare","[57B9FF]{0}[-]を押して使う","[57B9FF]{0}[-]을(를) 눌러 사용","Przyciśnij [57B9FF]{0}[-], aby użyć","Aperte [57B9FF]{0}[-] para usar","Нажмите [57B9FF]{0}[-], чтобы использовать","Kullanmak için bas: [57B9FF]{0}[-]","按下[57B9FF]{0}[-]使用","按下 [57B9FF]{0}[-] 使用"
"useSecureDoor","UI","HUD","","",,"Press [57B9FF]{0}[-] to open","","Zum Öffnen [57B9FF]{0}[-] drücken","Pulsa [57B9FF]{0}[-] para abrir","Appuyer sur [57B9FF]{0}[-] pour ouvrir","Premi [57B9FF]{0}[-] per aprire","[57B9FF]{0}[-]を押して開ける","[57B9FF]{0}[-]을(를) 눌러 열기","Przyciśnij [57B9FF]{0}[-], aby otworzyć","Aperte [57B9FF]{0}[-] para abrir","Нажмите [57B9FF]{0}[-], чтобы открыть","Açmak için bas: [57B9FF]{0}[-]","按下[57B9FF]{0}[-]打开","按下 [57B9FF]{0}[-] 打開"
"useSwitchLightOff","UI","Menu","","",,"[57B9FF]{0}[-] Switch light [DECEA3]OFF[-]","","[57B9FF]{0}[-] Licht ausschalten","[57B9FF]{0}[-] Apagar la luz","[57B9FF]{0}[-] Éteindre la lumière","[57B9FF]{0}[-] spegne le luci","[57B9FF]{0}[-] ライトをオフにする","[57B9FF]{0}[-] 조명 스위치 끄기","[57B9FF]{0}[-] Wył. światło","[57B9FF]{0}[-] Desligar luz","[57B9FF]{0}[-] Выключить свет","[57B9FF]{0}[-] Işığı kapat","[57B9FF]{0}[-]关灯","[57B9FF]{0}[-]關掉燈"
"useSwitchLightOn","UI","Menu","","",,"[57B9FF]{0}[-] Switch light [DECEA3]ON[-]","","[57B9FF]{0}[-] Licht einschalten","[57B9FF]{0}[-] Encender la luz","[57B9FF]{0}[-] Allumer la lumière","[57B9FF]{0}[-] accende le luci","[57B9FF]{0}[-] ライトをオンにする","[57B9FF]{0}[-] 조명 스위치 켜기","[57B9FF]{0}[-] Wł. światło","[57B9FF]{0}[-] Ligar luz","[57B9FF]{0}[-] Включить свет","[57B9FF]{0}[-] Işığı aç","[57B9FF]{0}[-]开灯","[57B9FF]{0}[-]打開燈"
"useWorkstation","UI","HUD","","",,"Press [57B9FF]{0}[-] to use","","Zum Benutzen [57B9FF]{0}[-] drücken","Pulsa [57B9FF]{0}[-] para usar","Appuyer sur [57B9FF]{0}[-] pour utiliser","Premi [57B9FF]{0}[-] per usare","[57B9FF]{0}[-]を押して使う","[57B9FF]{0}[-]을(를) 눌러 사용","Przyciśnij [57B9FF]{0}[-], aby użyć","Aperte [57B9FF]{0}[-] para usar","Нажмите [57B9FF]{0}[-], чтобы использовать","Kullanmak için bas: [57B9FF]{0}[-]","按下[57B9FF]{0}[-]使用","按下 [57B9FF]{0}[-] 使用"
"vendingMachineActivate","UI","Use Prompt","","",,"[57B9FF]{0}[-] to interact with [DECEA3]{1}[-]","","Drücke [57B9FF]{0}[-], um mit [DECEA3]{1}[-] zu interagieren","[57B9FF]{0}[-] para interactuar con [DECEA3]{1}[-]","[57B9FF]{0}[-] pour interagir avec [DECEA3]{1}[-]","[57B9FF]{0}[-] per interagire con [DECEA3]{1}[-]","[57B9FF]{0}[-]で[DECEA3]{1}[-]を操作する","[57B9FF]{0}[-](으)로 [DECEA3]{1}[-]과(와) 상호작용","[57B9FF]{0}[-], aby wejść w interakcję z: [DECEA3]{1}[-]","Aperte [57B9FF]{0}[-] para interagir com [DECEA3]{1}[-]","[DECEA3]{1}[-]: [57B9FF]{0}[-] для взаимодействия","[DECEA3]{1}[-] ile etkileşim kurmak için [57B9FF]{0}[-]","[57B9FF]{0}[-]与[DECEA3]{1}[-]互动","[57B9FF]{0}[-] 與[DECEA3]{1}[-]互動"
"xuiFoodAmount","","","","",,"Food Amount","","Lebensmittelmenge","Cantidad de alimentos","Quantité alimentaire","Importo del cibo","食糧量","음식 금액","Kwota żywności","Quantidade de comida","Сумма еды","Gıda miktarı","粮食金额","糧食金額"
"xuiFoodPercentage","","","","",,"Food Percentage","","Lebensmittelanteil","Porcentaje de alimentos","Pourcentage alimentaire","Percentuale di cibo","食品の割合","음식 비율","Procent żywności","Porcentagem de alimentos","Процент еды","Yiyecek yüzdesi","食物百分比","食物百分比"
"xuiTemperature","","","","",,"Temperature","","Temperatur","Temperatura","Température","Temperatura","温度","온도","Temperatura","Temperatura","Температура","Hava sıcaklığı","温度","溫度"
"xuiWaterAmount","","","","",,"Water Amount","","Wassermenge","Cantidad de agua","Quantité d'eau","Importo dell'acqua","水量","물 금액","Ilość wody","Quantidade de água.","Сумма воды","Su miktarı","水量","水量"
"xuiWaterPercentage","","","","",,"Water Percentage","","Wasseranteil","Porcentaje de agua","Pourcentage d'eau","Percentuale di acqua","水の割合","물 백분율","Procent wody","Porcentagem de água.","Процент воды","Su yüzdesi","水百分比","水百分比"
"agfTime","","","","",,"Time","","Zeit","Hora","Heure","Ora","時間","시간","Godzina","Hora","Время","Saat","时间","時間"
"xuiFoodAmountMax","","","","",,"Food Amount - Full","","Lebensmittelmenge - Ganz","Cantidad de alimentos - completa","Quantité alimentaire - Total","Importo del cibo - Pieno","食糧量 - フル","음식 금액 - 전체","Kwota żywności - Pełnia","Quantidade de comida - Cheio","Сумма еды - Полностью","Gıda miktarı - Tam","粮食金额 - 完整","糧食金額 - 全部"
"xuiWaterAmountMax","","","","",,"Water Amount - Full","","Wassermenge - Ganz","Cantidad de agua - completa","Quantité d'eau - Total","Importo dell'acqua - Pieno","水量 - フル","물 금액 - 전체","Ilość wody - Pełnia","Quantidade de água. - Cheio","Сумма воды - Полностью","Su miktarı - Tam","水量 - 完整","水量 - 全部"
"xuiTemp","","","","",,"Temp","","Temp","Temp","Temp","Temperatura","温度","온도","Temp","Temperatura","Темп","Sıcaklığı","温度","溫度"
"apiaryHasHoney","UI","Use Prompt","","",,"[57B9FF]{0}[-] Open {1} ([FFA500]Honey[-])","","[57B9FF]{0}[-] {1} öffnen ([FFA500]Honig[-])","[57B9FF]{0}[-] Abrir {1} ([FFA500]Miel[-])","[57B9FF]{0}[-] Ouvrir {1} ([FFA500]miel[-])","[57B9FF]{0}[-] {1} aperti ([FFA500]miele[-])","[57B9FF]{0}[-]で{1}を開く([FFA500]蜂蜜[-])","[57B9FF]{0}[-] {1} 열기 ([FFA500]꿀[-])","[57B9FF]{0}[-] Otwórz: {1} ([FFA500]Miód[-])","[57B9FF]{0}[-] Abrir {1} ([FFA500]Mel[-])","[57B9FF]{0}[-] Открыть {1} ([FFA500]мёд[-])","[57B9FF]{0}[-] Aç {1} ([FFA500]Bal[-])","[57B9FF]{0}[-] 打开 {1}（[FFA500]蜂蜜[-]）","[57B9FF]{0}[-] 開啟{1}（[FFA500]蜂蜜[-]）"
